index,x_mm,y_mm
581,22.49576170,-0.43669839
582,22.49670026,-0.38532747
583,22.49752152,-0.33395454
584,22.49822545,-0.28257986
585,22.49881208,-0.23120371
586,22.49928138,-0.17982636
587,22.49963335,-0.12844807
588,22.49986801,-0.07706911
589,22.49998533,-0.02568975
590,22.49998533,0.02568975
591,22.49986801,0.07706911
592,22.49963335,0.12844807
593,22.49928138,0.17982636
594,22.49881208,0.23120371
595,22.49822545,0.28257986
596,22.49752152,0.33395454
597,22.49670026,0.38532747
598,22.49576170,0.43669839
599,22.49470583,0.48806704
600,22.49353267,0.53943314
601,22.49224221,0.59079643
602,22.49083446,0.64215663
603,22.48930944,0.69351349
604,22.48766714,0.74486673
605,22.48590759,0.79621609
606,22.48403077,0.84756130
607,22.48203672,0.89890208
608,22.47992543,0.95023818
609,22.47769692,1.00156933
610,22.47535120,1.05289525
611,22.47288828,1.10421568
612,22.47030818,1.15553035
613,22.46761090,1.20683900
614,22.46479647,1.25814136
615,22.46186489,1.30943715
616,22.45881619,1.36072612
617,22.45565037,1.41200799
618,22.45236746,1.46328249
619,22.44896746,1.51454937
620,21.35088461,7.09857213
621,21.38945006,7.10729023
622,21.42771888,7.11597117
623,21.46569060,7.12461441
624,21.50336479,7.13321938
625,21.54074099,7.14178554
626,21.57781878,7.15031232
627,21.61459772,7.15879916
628,21.65107737,7.16724551
629,21.68725733,7.17565081
630,21.72313717,7.18401451
631,21.75871647,7.19233604
632,21.79399483,7.20061486
633,21.82897184,7.20885039
634,21.86364711,7.21704209
635,21.89802023,7.22518939
636,21.93209083,7.23329175
637,21.96585851,7.24134859
638,21.99932290,7.24935937
639,22.03248362,7.25732352
640,22.06534030,7.26524049
641,22.09789257,7.27310972
642,22.13014008,7.28093066
643,22.16208247,7.28870275
644,22.19371939,7.29642542
645,22.22505049,7.30409813
646,22.25607543,7.31172031
647,22.28679388,7.31929141
648,22.31720551,7.32681088
649,22.34730998,7.33427816
650,22.37710699,7.34169268
651,22.40659620,7.34905390
652,22.43577732,7.35636126
653,22.46465002,7.36361421
654,22.49321402,7.37081219
655,22.52146902,7.37795464
656,22.54941471,7.38504101
657,22.57705083,7.39207075
658,22.60437708,7.39904330
